50/2330 (26.3s)
100/2330 (51.0s)
150/2330 (78.9s)
200/2330 (102.8s)
250/2330 (128.4s)
300/2330 (152.3s)
350/2330 (179.1s)
400/2330 (200.4s)
450/2330 (224.7s)
500/2330 (248.2s)
550/2330 (271.9s)
600/2330 (293.6s)
650/2330 (317.1s)
700/2330 (338.6s)
750/2330 (363.3s)
800/2330 (385.9s)
850/2330 (408.3s)
900/2330 (430.5s)
950/2330 (455.1s)
1000/2330 (476.4s)
1050/2330 (502.5s)
1100/2330 (526.5s)
1150/2330 (550.9s)
1200/2330 (576.0s)
1250/2330 (600.8s)
1300/2330 (625.7s)
1350/2330 (649.1s)
1400/2330 (670.7s)
1450/2330 (696.5s)
1500/2330 (717.4s)
1550/2330 (741.8s)
1600/2330 (764.2s)
1650/2330 (788.4s)
1700/2330 (809.7s)
1750/2330 (832.5s)
1800/2330 (853.8s)
1850/2330 (877.4s)
1900/2330 (900.8s)
1950/2330 (924.9s)
2000/2330 (950.6s)
2050/2330 (974.7s)
2100/2330 (998.7s)
2150/2330 (1024.6s)
2200/2330 (1047.5s)
2250/2330 (1075.9s)
2300/2330 (1099.9s)
wrote exp086_f0_estimates_full.parquet in 1114.3s
fold acc=0.0605
fold acc=0.0631
fold acc=0.0412
mean acc=0.0549 std=0.0097
total time: 1116.6s
