iter	Passed	Remaining
0	14699	4395189
1	28985	4318910
2	44075	4363453
3	58353	4318169
4	72479	4276289
5	86934	4259805
6	101380	4243478
7	116751	4261445
8	131518	4252428
9	146975	4262288
10	161769	4250129
11	176134	4227220
12	189845	4191210
13	203114	4149334
14	217298	4128664
15	231522	4109521
16	245285	4083279
17	259249	4061575
18	273783	4049111
19	288217	4035051
20	302923	4024556
21	317552	4012714
22	332083	3999441
23	346890	3989242
24	361796	3979758
25	377035	3973377
26	391656	3960082
27	406368	3947580
28	420942	3933631
29	439144	3952304
30	452893	3929950
31	467104	3912002
32	480844	3890470
33	494768	3870833
34	508494	3850027
35	522610	3832478
36	536516	3813618
37	550609	3796308
38	564884	3780380
39	578547	3760560
40	592467	3742658
41	606513	3725728
42	620565	3708963
43	634385	3690971
44	648623	3675531
45	662684	3659171
46	677247	3645607
47	691755	3631715
48	709210	3632893
49	724572	3622863
50	740509	3615429
51	755608	3603671
52	770888	3592629
53	785613	3578906
54	800630	3566443
55	815930	3555126
56	830777	3541735
57	845812	3529081
58	865899	3536980
59	879865	3519462
60	894957	3506472
61	909295	3490522
62	923787	3475201
63	937874	3458413
64	952146	3442374
65	966448	3426498
66	980335	3409225
67	994402	3392668
68	1009721	3380371
69	1024627	3366633
70	1039555	3352932
71	1054473	3339166
72	1069414	3325439
73	1084003	3310605
74	1098026	3294078
75	1112461	3278834
76	1126108	3261326
77	1140055	3244772
78	1154320	3229175
79	1167966	3211908
80	1182219	3196371
81	1198178	3185401
82	1213738	3173267
83	1229403	3161324
84	1244338	3147445
85	1258629	3131938
86	1273106	3116917
87	1287635	3102032
88	1302202	3087245
89	1317822	3074918
90	1332434	3060206
91	1346105	3043368
92	1360623	3028484
93	1374774	3012804
94	1388862	2997018
95	1403136	2981665
96	1417042	2965563
97	1430860	2949324
98	1444811	2933404
99	1459043	2918087
100	1471755	2899795
101	1484887	2882428
102	1498539	2866139
103	1512457	2850401
104	1525792	2833614
105	1539289	2817190
106	1553745	2802549
107	1566699	2785243
108	1579822	2768312
109	1593188	2751871
110	1607476	2737054
111	1621315	2721494
112	1636962	2708955
113	1651294	2694217
114	1665742	2679672
115	1679325	2663757
116	1692868	2647819
117	1707757	2633998
118	1722704	2620247
119	1737644	2606466
120	1756982	2599172
121	1771610	2584808
122	1787099	2571679
123	1802218	2557988
124	1816562	2543186
125	1831767	2529584
126	1846562	2515396
127	1861142	2500909
128	1875166	2485686
129	1889548	2470948
130	1904509	2456962
131	1919008	2442374
132	1933320	2427552
133	1947602	2412701
134	1961722	2397660
135	1976205	2383071
136	1990671	2368463
137	2005251	2353991
138	2019779	2339457
139	2033989	2324559
140	2048307	2309793
141	2062565	2294967
142	2081357	2285127
143	2096223	2270908
144	2110429	2255976
145	2124745	2241169
146	2140008	2227355
147	2155949	2214218
148	2171037	2200178
149	2185998	2185998
150	2200715	2171567
151	2216836	2158498
152	2232454	2144907
153	2247647	2130886
154	2263321	2117300
155	2277970	2102741
156	2293071	2088593
157	2307866	2074158
158	2322940	2059966
159	2337315	2045151
160	2352901	2031387
161	2368648	2017737
162	2383890	2003638
163	2399373	1989724
164	2413994	1975086
165	2428153	1960075
166	2441941	1944779
167	2456520	1930122
168	2470888	1915303
169	2485460	1900646
170	2499966	1885939
171	2515037	1871655
172	2529834	1857161
173	2544306	1842428
174	2558823	1827730
175	2573433	1813101
176	2587933	1798394
177	2602575	1783787
178	2616973	1769015
179	2631777	1754518
180	2645702	1739439
181	2659788	1724478
182	2674395	1709859
183	2690060	1695907
184	2705544	1681825
185	2720774	1667571
186	2735594	1653059
187	2749433	1637960
188	2764381	1623525
189	2779564	1609221
190	2794374	1594695
191	2810345	1580819
192	2825816	1566644
193	2841279	1552451
194	2855733	1537702
195	2870578	1523164
196	2884856	1508326
197	2899497	1493680
198	2914455	1479195
199	2929284	1464642
200	2943804	1449933
201	2957638	1434893
202	2971206	1419739
203	2985545	1404962
204	3000011	1390249
205	3014730	1375653
206	3029519	1361088
207	3044121	1346438
208	3058964	1331893
209	3073824	1317353
210	3087823	1302446
211	3102411	1287793
212	3116949	1273120
213	3131344	1258390
214	3145620	1243617
215	3160089	1228923
216	3174841	1214340
217	3189343	1199661
218	3204398	1185188
219	3218357	1170311
220	3232847	1155633
221	3247343	1140958
222	3261620	1126209
223	3275607	1111366
224	3289928	1096642
225	3304630	1082047
226	3318938	1067323
227	3333556	1052702
228	3355953	1040492
229	3371294	1026046
230	3386787	1011637
231	3402821	997378
232	3417922	982836
233	3432682	968192
234	3447732	953628
235	3462610	939012
236	3477340	924356
237	3491706	909604
238	3506377	894933
239	3520987	880246
240	3535798	865610
241	3550459	850936
242	3564609	836143
243	3579065	821424
244	3593624	806732
245	3607871	791971
246	3622270	777248
247	3637451	762691
248	3651447	747886
249	3666003	733200
250	3680367	718478
251	3694839	703778
252	3709378	689094
253	3724693	674550
254	3739614	659932
255	3754140	645242
256	3768756	630570
257	3783693	615950
258	3798443	601297
259	3812492	586537
260	3827502	571925
261	3843019	557384
262	3859286	542941
263	3874594	528353
264	3890923	513895
265	3906404	499314
266	3922326	484781
267	3937908	470197
268	3953990	455664
269	3969917	441101
270	3984579	426394
271	3999567	411720
272	4014937	397081
273	4029936	382402
274	4045016	367728
275	4059786	353024
276	4074901	338349
277	4089298	323613
278	4104063	308908
279	4118801	294200
280	4133840	279512
281	4148769	264815
282	4163821	250123
283	4178123	235387
284	4192786	220672
285	4207369	205955
286	4222276	191252
287	4236975	176540
288	4251896	161836
289	4266357	147115
290	4284060	132496
291	4299871	117804
292	4317703	103153
293	4333625	88441
294	4350117	73730
295	4365765	58996
296	4380415	44246
297	4395394	29499
298	4409805	14748
299	4424371	0
